Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
1;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
2;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
2;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
3;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
3;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
4;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
4;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
5;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
5;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
6;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
6;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
7;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
7;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
8;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
8;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
9;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
9;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
10;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
10;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
11;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
11;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
12;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
12;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
13;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
13;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
14;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
14;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
15;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
15;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
16;Wersja językowa:radio:3;PL:1;;;;;;;;;;;;;;;;;;;;
16;Wersja językowa:radio:3;EN:2;;;;;;;;30;;;;;;;;;;;;
