Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
1;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
2;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
2;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
3;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
3;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
4;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
4;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
5;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
5;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
6;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
6;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
7;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
7;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
8;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
8;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
9;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
9;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
10;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
10;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
11;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
11;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
12;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
12;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
13;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
13;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
14;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
14;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
15;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
15;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
16;Wersja językowa:radio:0;PL:0;;;;;;;;;;;;;;;;;;;;
16;Wersja językowa:radio:0;EN:1;;;;;;;;;;;;;;;;;;;;
