Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
1;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
2;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
2;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
3;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
3;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
4;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
4;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
5;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
5;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
6;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
6;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
7;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
7;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
8;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
8;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
9;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
9;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
10;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
10;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
11;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
11;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
12;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
12;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
13;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
13;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
14;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
14;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
15;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
15;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
16;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
16;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
17;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
17;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
18;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
18;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
19;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
19;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
20;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
20;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
21;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
21;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
22;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
22;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
23;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
23;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
24;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
24;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
25;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
25;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
26;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
26;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
27;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
27;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
28;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
28;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
29;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
29;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
30;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
30;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
31;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
31;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
32;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
32;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
33;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
33;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
34;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
34;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
35;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
35;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
36;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
36;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
37;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
37;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
38;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
38;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
39;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
39;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
40;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
40;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
41;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
41;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
42;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
42;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
43;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
43;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
44;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
44;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
45;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
45;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
46;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
46;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
47;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
47;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
48;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
48;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
49;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
49;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
50;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
50;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
51;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
51;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
52;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
52;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
53;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
53;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
54;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
54;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
55;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
55;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
56;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
56;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
57;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
57;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
58;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
58;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
59;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
59;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
60;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
60;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
61;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
61;;Wersja językowa:radio:0;EN:0;;;;;;;;39;;;;;;;;;;;;
62;;Wersja językowa:radio:0;PL:0;;;;;;;;78;;;;1;;;;;;;;
