Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
10;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
10;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
11;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
11;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
12;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
12;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
13;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
13;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
14;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
14;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
15;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
15;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
16;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
16;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
17;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
17;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
18;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
18;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
19;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
19;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
2;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
2;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
21;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
21;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
22;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
22;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
23;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
23;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
24;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
24;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
25;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
25;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
26;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
26;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
27;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
27;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
28;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
28;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
29;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
29;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
3;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
3;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
31;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
31;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
33;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
33;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
35;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
35;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
36;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
36;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
37;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
37;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
38;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
38;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
39;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
39;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
4;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
4;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
40;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
40;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
41;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
41;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
42;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
42;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
43;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
43;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
44;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
44;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
45;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
45;;Wersja językowa:radio:0;EN:0;;;;;;;;71;;;;;;;;;;;;
46;;Wersja językowa:radio:0;PL:0;;;;;;;;142;;;;1;;;;;;;;
