Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
1;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
2;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
2;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
3;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
3;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
4;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
4;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
5;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
5;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
6;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
6;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
7;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
7;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
8;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
8;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
9;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
9;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
10;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
10;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
11;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
11;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
12;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
12;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
13;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
13;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
14;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
14;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
15;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
15;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
16;;Wersja językowa:radio:0;PL:0;;;;;;;;30;;;;1;;;;;;;;
16;;Wersja językowa:radio:0;EN:0;;;;;;;;30;;;;1;;;;;;;;
