Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;;Wersja językowa:radio:0;PL:0;;;;;;;;598;;;;1;;;;;;;;
1;;Wersja językowa:radio:0;EN:0;;;;;;;;299;;;;;;;;;;;;
100;;Wersja językowa:radio:0;PL:0;;;;;;;;794;;;;1;;;;;;;;
100;;Wersja językowa:radio:0;EN:0;;;;;;;;397;;;;;;;;;;;;
101;;Wersja językowa:radio:0;PL:0;;;;;;;;744;;;;1;;;;;;;;
101;;Wersja językowa:radio:0;EN:0;;;;;;;;372;;;;;;;;;;;;
102;;Wersja językowa:radio:0;PL:0;;;;;;;;320;;;;1;;;;;;;;
102;;Wersja językowa:radio:0;EN:0;;;;;;;;160;;;;;;;;;;;;
103;;Wersja językowa:radio:0;PL:0;;;;;;;;234;;;;1;;;;;;;;
103;;Wersja językowa:radio:0;EN:0;;;;;;;;117;;;;;;;;;;;;
104;;Wersja językowa:radio:0;PL:0;;;;;;;;864;;;;1;;;;;;;;
104;;Wersja językowa:radio:0;EN:0;;;;;;;;432;;;;;;;;;;;;
106;;Wersja językowa:radio:0;PL:0;;;;;;;;940;;;;1;;;;;;;;
106;;Wersja językowa:radio:0;EN:0;;;;;;;;470;;;;;;;;;;;;
107;;Wersja językowa:radio:0;PL:0;;;;;;;;628;;;;1;;;;;;;;
107;;Wersja językowa:radio:0;EN:0;;;;;;;;314;;;;;;;;;;;;
108;;Wersja językowa:radio:0;PL:0;;;;;;;;460;;;;1;;;;;;;;
108;;Wersja językowa:radio:0;EN:0;;;;;;;;230;;;;;;;;;;;;
109;;Wersja językowa:radio:0;PL:0;;;;;;;;944;;;;1;;;;;;;;
109;;Wersja językowa:radio:0;EN:0;;;;;;;;472;;;;;;;;;;;;
11;;Wersja językowa:radio:0;PL:0;;;;;;;;576;;;;1;;;;;;;;
